"Year","Age","sex","Mortality_Rate"
1991,4,2,0.003293159
1991,5,1,0.001758472
1991,5,2,0.001653126
1991,6,1,0.001641037
1991,6,2,0.001528758
1991,7,1,0.001523602
1991,7,2,0.001404391
1991,8,1,0.001406166
1991,8,2,0.001280023
1991,9,1,0.001288731
1991,9,2,0.001155656
1991,10,1,0.001171296
1991,10,2,0.001031288
1991,11,1,0.001226952
1991,11,2,0.001114528
1991,12,1,0.001282607
1991,12,2,0.001197768
1991,13,1,0.001338263
1991,13,2,0.001281008
1991,14,1,0.001393918
1991,14,2,0.001364248
1991,15,1,0.001449574
1991,15,2,0.001447488
1991,16,1,0.001603976
1991,16,2,0.001636687
1991,17,1,0.001758378
1991,17,2,0.001825886
1991,18,1,0.00191278
1991,18,2,0.002015086
1991,19,1,0.002067182
1991,19,2,0.002204285
1991,20,1,0.002221584
1991,20,2,0.002393484
1991,21,1,0.002423999
1991,21,2,0.002576275
1991,22,1,0.002626414
1991,22,2,0.002759066
1991,23,1,0.00282883
1991,23,2,0.002941858
1991,24,1,0.003031245
1991,24,2,0.003124649
1991,25,1,0.00323366
1991,25,2,0.00330744
1991,26,1,0.003465338
1991,26,2,0.003441706
1991,27,1,0.003697016
1991,27,2,0.003575972
1991,28,1,0.003928694
1991,28,2,0.003710238
1991,29,1,0.004160372
1991,29,2,0.003844504
1991,30,1,0.00439205
1991,30,2,0.00397877
1991,31,1,0.004624558
1991,31,2,0.004123009
1991,32,1,0.004857065
1991,32,2,0.004267248
1991,33,1,0.005089573
1991,33,2,0.004411486
1991,34,1,0.00532208
1991,34,2,0.004555725
1991,35,1,0.005554588
1991,35,2,0.004699964
1991,36,1,0.00574889
1991,36,2,0.004794743
1991,37,1,0.005943191
1991,37,2,0.004889522
1991,38,1,0.006137493
1991,38,2,0.0049843
1991,39,1,0.006331794
1991,39,2,0.005079079
1991,40,1,0.006526096
1991,40,2,0.005173858
1991,41,1,0.006917573
1991,41,2,0.005428876
1991,42,1,0.00730905
1991,42,2,0.005683894
1991,43,1,0.007700526
1991,43,2,0.005938912
1991,44,1,0.008092003
1991,44,2,0.00619393
1991,45,1,0.00848348
1991,45,2,0.006448948
1991,46,1,0.008983555
1991,46,2,0.006949634
1991,47,1,0.00948363
1991,47,2,0.007450321
1991,48,1,0.009983706
1991,48,2,0.007951007
1991,49,1,0.010483781
1991,49,2,0.008451694
1991,50,1,0.010983856
1991,50,2,0.00895238
1991,51,1,0.011848851
1991,51,2,0.009691843
1991,52,1,0.012713846
1991,52,2,0.010431306
1991,53,1,0.013578842
1991,53,2,0.01117077
1991,54,1,0.014443837
1991,54,2,0.011910233
1991,55,1,0.015308832
1991,55,2,0.012649696
1991,56,1,0.016860573
1991,56,2,0.01414492
1991,57,1,0.018412314
1991,57,2,0.015640145
1991,58,1,0.019964056
1991,58,2,0.017135369
1991,59,1,0.021515797
1991,59,2,0.018630594
1991,60,1,0.023067538
1991,60,2,0.020125818
1991,61,1,0.025247159
1991,61,2,0.021994536
1991,62,1,0.02742678
1991,62,2,0.023863254
1991,63,1,0.029606402
1991,63,2,0.025731972
1991,64,1,0.031786023
1991,64,2,0.02760069
1991,65,1,0.033965644
1991,65,2,0.029469408
1991,66,1,0.037714333
1991,66,2,0.033100171
1991,67,1,0.041463022
1991,67,2,0.036730934
1991,68,1,0.045211712
1991,68,2,0.040361698
1991,69,1,0.048960401
1991,69,2,0.043992461
1991,70,1,0.05270909
1991,70,2,0.047623224
1991,71,1,0.057961634
1991,71,2,0.052521163
1991,72,1,0.063214177
1991,72,2,0.057419102
1991,73,1,0.068466721
1991,73,2,0.06231704
1991,74,1,0.073719264
1991,74,2,0.067214979
1991,75,1,0.078971808
1991,75,2,0.072112918
1991,76,1,0.09483068
1991,76,2,0.087672521
1991,77,1,0.110689551
1991,77,2,0.103232124
1991,78,1,0.126548423
1991,78,2,0.118791728
1991,79,1,0.142407294
1991,79,2,0.134351331
1991,80,1,0.158266166
1991,80,2,0.149910934
1991,81,1,0.158266166
1991,81,2,0.149910934
1991,82,1,0.158266166
1991,82,2,0.149910934
1991,83,1,0.158266166
1991,83,2,0.149910934
1991,84,1,0.158266166
1991,84,2,0.149910934
1991,85,1,0.158266166
1991,85,2,0.149910934
1991,86,1,0.158266166
1991,86,2,0.149910934
1991,87,1,0.158266166
1991,87,2,0.149910934
1991,88,1,0.158266166
1991,88,2,0.149910934
1991,89,1,0.158266166
1991,89,2,0.149910934
1991,90,1,0.158266166
1991,90,2,0.149910934
1991,91,1,0.158266166
1991,91,2,0.149910934
1991,92,1,0.158266166
1991,92,2,0.149910934
1991,93,1,0.158266166
1991,93,2,0.149910934
1991,94,1,0.158266166
1991,94,2,0.149910934
1991,95,1,0.158266166
1991,95,2,0.149910934
1991,96,1,0.158266166
1991,96,2,0.149910934
1991,97,1,0.158266166
1991,97,2,0.149910934
1991,98,1,0.158266166
1991,98,2,0.149910934
1991,99,1,0.158266166
1991,99,2,0.149910934
1991,100,1,0.158266166
1991,100,2,0.149910934
1991,101,1,0.158266166
1991,101,2,0.149910934
1991,102,1,0.158266166
1991,102,2,0.149910934
1991,103,1,0.158266166
1991,103,2,0.149910934
1992,1,1,0.00912002
1992,1,2,0.008218062
1992,2,1,0.007289286
1992,2,2,0.006584975
1992,3,1,0.005458552
1992,3,2,0.004951887
1992,4,1,0.003627818
1992,4,2,0.0033188
1992,5,1,0.001797084
1992,5,2,0.001685712
1992,6,1,0.001677236
1992,6,2,0.001558063
1992,7,1,0.001557387
1992,7,2,0.001430414
1992,8,1,0.001437539
1992,8,2,0.001302764
1992,9,1,0.00131769
1992,9,2,0.001175115
1992,10,1,0.001197842
1992,10,2,0.001047466
1992,11,1,0.001246285
1992,11,2,0.001131346
1992,12,1,0.001294728
1992,12,2,0.001215226
1992,13,1,0.001343172
1992,13,2,0.001299106
1992,14,1,0.001391615
1992,14,2,0.001382986
1992,15,1,0.001440058
1992,15,2,0.001466866
1992,16,1,0.001605826
1992,16,2,0.001711044
1992,17,1,0.001771594
1992,17,2,0.001955223
1992,18,1,0.001937362
1992,18,2,0.002199401
1992,19,1,0.00210313
1992,19,2,0.00244358
1992,20,1,0.002268898
1992,20,2,0.002687758
1992,21,1,0.002542696
1992,21,2,0.002945832
1992,22,1,0.002816495
1992,22,2,0.003203907
1992,23,1,0.003090293
1992,23,2,0.003461981
1992,24,1,0.003364092
1992,24,2,0.003720056
1992,25,1,0.00363789
1992,25,2,0.00397813
1992,26,1,0.003938966
1992,26,2,0.004131234
1992,27,1,0.004240042
1992,27,2,0.004284338
1992,28,1,0.004541118
1992,28,2,0.004437442
1992,29,1,0.004842194
1992,29,2,0.004590546
1992,30,1,0.00514327
1992,30,2,0.00474365
1992,31,1,0.005392487
1992,31,2,0.004863718
1992,32,1,0.005641704
1992,32,2,0.004983785
1992,33,1,0.005890922
1992,33,2,0.005103853
1992,34,1,0.006140139
1992,34,2,0.00522392
1992,35,1,0.006389356
1992,35,2,0.005343988
1992,36,1,0.006573823
1992,36,2,0.00539261
